id,text,annotation
53c4748e-dbd2-4cf5-946f-d134b0bf6155,"Tengo 39 años, pues, ya veré cuándo yo quiero dejar de comer ternera, está mal, porque hay sobre explotación y todo esto, muy mal.","[{'end': 13, 'label': 'DATES', 'start': 6}]"
0d6783a0-f249-43fe-b845-88db7e4c7f10,"Cuando sales de casa, ya estás planeando que foto subir a Instagram en las stories para que él la vea, porque estas alturas ya tenéis bromitas internas, jijiji.","[{'end': 67, 'label': 'ORGANIZATIONS', 'start': 58}]"
44a3e10b-42af-477c-9b72-eca95ca01f14,"Lo es la amante de Catherine, Roxy y con un pasado de asesina de sus propios hermanos, el tabú total.","[{'end': 28, 'label': 'PEOPLE', 'start': 19}
 {'end': 34, 'label': 'PEOPLE', 'start': 30}]"
74f767fc-b14e-4844-8a30-6d882d48c162,¿Cómo hacer para que pese a entender que la idea del amor romántico es una construcción artificiosa con unas cuantas grietas?,"[{'end': 67, 'label': 'TOPIC', 'start': 53}]"
0771a9fb-4f9a-4aa4-aae6-cc0c0c5692a6,"Lo descubrirás cuando te vayas a vivir con él a las seis semanas de relación, porque estás enamorada y ¿qué podrías salir más?","[{'end': 64, 'label': 'DATES', 'start': 52}
 {'end': 100, 'label': 'TOPIC', 'start': 91}]"
dabd8f97-8e52-4382-924f-f0280fa54b3e,"Sí, y eso no es muy feminista que digamos, sí, no lo es, venga, y qué, ya que estoy con mis parábolas y mis discursos de farsante en este podcast que ha ganado sondas, pero yo solo pienso en el amor.","[{'end': 29, 'label': 'TOPIC', 'start': 20}
 {'end': 145, 'label': 'TOPIC', 'start': 138}
 {'end': 198, 'label': 'TOPIC', 'start': 194}]"
d154efbc-491e-4fc9-b897-b879c00ffc47,Es que todavía hay gente que hace secciones de humor de salir de tu zona de confort.,"[{'end': 52, 'label': 'TOPIC', 'start': 47}
 {'end': 83, 'label': 'TOPIC', 'start': 68}]"
639cf8bc-9180-40d1-81f1-ec76386504ae,"El hecho de estar más cerca de los 40 que de los 30, y sin compañero, no deje de generarme cierta ansiedad.","[{'end': 2, 'label': 'PEOPLE', 'start': 0}
 {'end': 37, 'label': 'DATES', 'start': 31}
 {'end': 51, 'label': 'DATES', 'start': 45}
 {'end': 106, 'label': 'TOPIC', 'start': 98}]"
bd287f2e-8dac-4f29-b875-cdab99ca5660,El cine nos ha enseñado todo lo que tenemos que entender sobre el hombre fatal.,"[{'end': 7, 'label': 'FILMS', 'start': 0}]"
89b01b4d-76af-42bf-8533-a51994e9313e,"Y en ese restaurante, frecuentado por artistas.","[{'end': 20, 'label': 'PLACES', 'start': 9}]"
17b8f24a-f4b0-40db-b6f5-0adacce261c4,"Y él le triplicaba la dada, tenía 61 años.","[{'end': 41, 'label': 'DATES', 'start': 34}]"
a14d529c-6543-49a5-8c49-b8fc4f7597c8,"Él se plancha los calzoncillos, se corta el pelo cada tres semanas.","[{'end': 13, 'label': 'OBJECTS', 'start': 6}
 {'end': 30, 'label': 'OBJECTS', 'start': 18}
 {'end': 66, 'label': 'DATES', 'start': 54}]"
e7ae7bcc-fe50-4e2d-b6ba-f847d872637e,"Pero esto lo has dicho en el podcast, clarísimamente.","[{'end': 36, 'label': 'TOPIC', 'start': 29}]"
cef471f2-8f80-4797-b383-e8face139dd4,"Bien, ella sigue yendo al estudio, le mostraba los cuadros, coqueteaban, ya se saban, él como en un momento como que le toca a los pechos, ella tampoco se resiste, él como que le protesta otra vez, bueno... Que ruzla que un poco.","[{'end': 58, 'label': 'OBJECTS', 'start': 51}]"
818f4edb-0f74-4fcc-95c3-083015f0b9e1,"Te lo juro, Lucía, pongo adiós por testigos, que jamás volveré a irme por las ramas ni a pasar hambre.","[{'end': 17, 'label': 'PEOPLE', 'start': 12}]"
5c764c97-4643-49d5-bfa2-0a8f98eb0b1f,"Una señora además comprometida con su tiempo, filosofa... Difficilísimo.","[{'end': 54, 'label': 'TOPIC', 'start': 46}]"
0c348ce3-a8f9-47cb-a64c-7865b91d4cbf,No sabemos hacer la declaración de las rentas olas.,"[{'end': 45, 'label': 'TOPIC', 'start': 20}]"
c4160d6c-4a64-47f5-9513-9ce9c5f26bd2,"Porque, no, no, no, no, personal, vida, life, no, no, fuera, olvidad eso, no, es como, me invento, nada, no sé, no, sí, es que ahora voy a explicar unas cosas súper fuertes, bueno, luego resulta que es bueno, eh, la vida normal, pero en la cama pronto deja de funcionar con esa persona.","[{'end': 244, 'label': 'OBJECTS', 'start': 240}]"
f7d84035-7d9d-4713-b143-1d0bf43a7539,"Duchamp dijo, ella no es que fuera futurista, es que ella es el futuro.","[{'end': 7, 'label': 'PEOPLE', 'start': 0}
 {'end': 44, 'label': 'TOPIC', 'start': 35}
 {'end': 70, 'label': 'TOPIC', 'start': 64}]"
169611e1-d1a7-45f1-9ea9-2d4366d743e9,"Su pasión amorosa, a la que concedió una enorme importancia, toda su vida está deliberadamente silenciosa en su obra filosófica.","[{'end': 17, 'label': 'TOPIC', 'start': 0}
 {'end': 127, 'label': 'TOPIC', 'start': 109}]"
068cded2-747b-4c4a-9453-84436298996f,"Ayer puse un tuit que rápidamente borré, que era... ¿Qué tópico es, si lo borré, porque escribo y lo borro?","[{'end': 17, 'label': 'TOPIC', 'start': 13}]"
942fc74c-4ccc-425d-adeb-ab2a60502b97,"Bueno, Lucía, hoy vamos a hablar de la huida.","[{'end': 12, 'label': 'PEOPLE', 'start': 7}
 {'end': 44, 'label': 'TOPIC', 'start': 39}]"
9a13a73f-8e0e-4227-91ce-bc35cf4469d6,"Nada, que estoy en el supermercado comprandome un tomate y un aguacate.","[{'end': 34, 'label': 'PLACES', 'start': 22}
 {'end': 56, 'label': 'OBJECTS', 'start': 50}
 {'end': 70, 'label': 'OBJECTS', 'start': 62}]"
0d981999-0b57-4310-ad8e-74cd14467fb4,Solo puede ser un psicópata o el amor de tu vida.,"[{'end': 48, 'label': 'TOPIC', 'start': 33}]"
68227948-cb30-4112-b808-93497de30ba3,"Bien, cómo cuenta Monachollet en su libro, belleza fatal, belleza fatal.","[{'end': 56, 'label': 'BOOKS', 'start': 43}
 {'end': 29, 'label': 'PEOPLE', 'start': 18}]"
119845db-9db7-4b4d-9395-7270319563fa,"O sea, si a Arendt le pasó, te puede pasar.","[{'end': 18, 'label': 'PEOPLE', 'start': 12}]"
e89e3b3e-83b9-42a5-b827-b5c67481c3b7,"Claro, tú imagínate que estás en esas escenas con tus amigas, todas como de clase media, burguesas directamente.","[{'end': 87, 'label': 'TOPIC', 'start': 76}
 {'end': 98, 'label': 'TOPIC', 'start': 89}]"
364f1198-c03f-48dd-bf1e-f978b4e9e77f,"Lo más importante, tenemos a un Charlton Heston increíble de guapa, o sea, y de peligrosa, una mujer fatal clásica.","[{'end': 47, 'label': 'PEOPLE', 'start': 32}]"
65cbbf1d-5fda-4372-b518-856f06f5cd9d,Y además ya empiezas ya a cabrearte como una mona.,"[{'end': 49, 'label': 'ANIMALS', 'start': 45}]"
891182b5-c748-4520-b7b0-3ecad61d3465,"Porque estamos rodeadas de terraplanistas, de machistas, ultraderechistas y viene un apocalipsis climático que a verás tú qué divertido va a ser eso.","[{'end': 41, 'label': 'TOPIC', 'start': 27}
 {'end': 106, 'label': 'TOPIC', 'start': 85}]"
bd63d10b-3743-489c-938e-d02317eb8cd9,"De Almax, hoy vengo a hablar del aniquilador de Almax por el telé... Esa que... Por excelencias, ¿eh?","[{'end': 8, 'label': 'ORGANIZATIONS', 'start': 3}
 {'end': 53, 'label': 'FILMS', 'start': 33}]"
06b26459-c30f-4f76-8b6c-6a3b22fe91ff,"A diferencia de la fantasía de la mujer fatal que es agresiva sexualmente y, por tanto, en la imagen audiovisual es lo opuesto a la familia, como decíamos, el hombre fatal te ofrece todo aquello que crees que le falta a tu vida.","[{'end': 45, 'label': 'TOPIC', 'start': 19}
 {'end': 112, 'label': 'TOPIC', 'start': 94}
 {'end': 171, 'label': 'TOPIC', 'start': 159}
 {'end': 139, 'label': 'TOPIC', 'start': 132}]"
6dc334fa-3c11-48fd-bfb9-e3d1010d7fa8,"En la cena, François notó que las miraba y que incluso actuaba desde su mesa para ellos.","[{'end': 20, 'label': 'PEOPLE', 'start': 12}]"
25e83273-cb33-4c7f-ab7f-d6e6ae72c305,"Es que te puedes enamorar de un tío, o por lo menos te puede poner sexualmente de una manera, como una moto, moto, moto, moto, moto, moto.","[{'end': 25, 'label': 'TOPIC', 'start': 17}
 {'end': 107, 'label': 'OBJECTS', 'start': 103}]"
9d3a893b-2d2f-44c9-a76f-8f47e502aca6,"Hesel lo corrige con esta maravillosa historia del arte donde hay centenares y miles de mujeres artistas, sus vidas y obras reflejadas que recomiendo desde la edad media hasta ahora mismo.","[{'end': 5, 'label': 'PEOPLE', 'start': 0}
 {'end': 55, 'label': 'TOPIC', 'start': 38}]"
fca5b034-ca0a-4c53-9bf3-b7b77a3770ac,Y que la coman los gusanos de Dios.,"[{'end': 34, 'label': 'TOPIC', 'start': 30}]"
60671f94-680b-4013-b4af-19e0b7841895,"Que la fotografió Alfred Stiglitz también dijo que era obra de una mujer, el que le hizo la foto.","[{'end': 33, 'label': 'PEOPLE', 'start': 18}]"
045b7721-3581-4536-a827-8b61c9f8b8cc,"Entonces dice, ellos son pusilarimes pero no negativos, ellas son poderosas pero no feministas, y hay una... El teórico Halberstam, que tiene una lectura de la película que fascina, que dice, instinto básico, trata sobre una comisaría homófoba y machista, que es amenazada por unas lesbianas fuera de la ley.","[{'end': 130, 'label': 'PEOPLE', 'start': 120}
 {'end': 207, 'label': 'FILMS', 'start': 192}]"
f306a7a2-589a-45d5-afdd-0cee839a5771,"Y ella, como era una drama, una señora listísima, fantástica, que intelectualizaba todo para Arendt, siempre estuvo en segundo plano sus reflexiones sobre el amor, consideraba que el amor no era sobre algo que habría que... Debatir.","[{'end': 99, 'label': 'PEOPLE', 'start': 93}
 {'end': 162, 'label': 'TOPIC', 'start': 158}]"
2a60d293-dd34-4e33-8e43-12a6d441c1bd,"Ella tiene un libro maravilloso, que se llama Vida con Picasso, que es una biografía de ella con él.","[{'end': 62, 'label': 'BOOKS', 'start': 46}]"
801a4b19-79f5-4780-b638-b42938856d7b,"Dice Virginia Woolf, convertir en serio lo que a un hombre le parece insignificante y en trivial lo que para un hombre es importante, esa es la clave, esta es la clave de nuestro podcast, es la clave del feminismo, es la clave del secreto de cambiar el mundo.","[{'end': 19, 'label': 'PEOPLE', 'start': 5}
 {'end': 213, 'label': 'TOPIC', 'start': 204}]"
44f58c20-ffbd-4844-b7a0-66c9e8611db6,"Claro, explica tú siendo Arendt, judía, perseguida en Alemania, encarcelada y escapando emigrando a Estados Unidos por el nazismo.","[{'end': 31, 'label': 'PEOPLE', 'start': 25}
 {'end': 62, 'label': 'PLACES', 'start': 54}
 {'end': 114, 'label': 'PLACES', 'start': 100}
 {'end': 129, 'label': 'TOPIC', 'start': 122}]"
69efd9ad-5fd2-4abc-b901-f00d8b2ab93e,"Antes me prefería haber ti, Davies.","[{'end': 34, 'label': 'PEOPLE', 'start': 28}]"
dd989e05-a984-4069-abb0-6974812aa6ff,"Pero con un hombre fatal, lo que él entiende de lo que tú haces es que a las 3 de la mañana estás pensando en él y que ya saben qué bar estás, probablemente con quién y aquí ahora llegarás a casa.","[{'end': 135, 'label': 'PLACES', 'start': 132}
 {'end': 91, 'label': 'DATES', 'start': 77}
 {'end': 195, 'label': 'PLACES', 'start': 191}]"
2fddf42d-54bf-4d3e-bf3c-5ed16bb6946b,"Pero, ojo, es perfecto, porque cuando necesites caballerosidad, atención, incluso a un futuro sellado y confirmado de familia e hijos, él estará ahí también, él te ofrece eso.","[{'end': 62, 'label': 'TOPIC', 'start': 48}]"
fc5aa963-9ed7-47ce-9529-71aa773b7b3c,"Habiendo siete películas en cartel en la que los hombres matan a las mujeres, hay que bocotear una película con contrapeso, relecturas e ironía de postmodernidad.","[{'end': 161, 'label': 'TOPIC', 'start': 147}]"
7a722f7c-32e6-4e79-bd7e-28e1d8244287,Ven sus obras y son un poco testigos de lo que pasaba allí en el número 7 de la Guille de Grand-Augustin.,"[{'end': 104, 'label': 'PLACES', 'start': 80}]"
f766b28f-7321-4c7d-8b5a-715f24b12880,"Fíjate lo bien que le fue al Paris Hilton o Esperanza Aguirre haciéndose las tontas, por cierto, paradójicamente, o sea, las dos forradas en los realities y en la política, son un poco lo mismo, a veces nos engañemos.","[{'end': 41, 'label': 'PEOPLE', 'start': 29}
 {'end': 61, 'label': 'PEOPLE', 'start': 44}
 {'end': 154, 'label': 'TOPIC', 'start': 145}
 {'end': 171, 'label': 'TOPIC', 'start': 163}]"
8ef7b5eb-8f12-4a6a-84c7-0f795cca68ad,"Vender la apocalipsis y no sabremos hacer nada, no sabemos desoyar un jabalí, ni cuáles son las plantas venanosas si te la señalan, se tecarán las fundas de los dientes con el paso del tiempo, se te encrespará el pelo sin tu mascarilla de keratina y estarás citando a Vivian Gornick o a Gramchi, ¿vale?","[{'end': 282, 'label': 'PEOPLE', 'start': 268}
 {'end': 294, 'label': 'PEOPLE', 'start': 287}
 {'end': 76, 'label': 'ANIMALS', 'start': 70}]"
a0c9c185-956c-49c3-8b62-6953f4a8d8de,"Hace la estúpida, pero aprende que el futuro ya está aquí y te necesitamos bien despierta para la revolución.","[{'end': 44, 'label': 'TOPIC', 'start': 38}
 {'end': 108, 'label': 'TOPIC', 'start': 98}]"
0eea1813-d156-4450-ab10-2c649de3c9f6,"Mónica, digo tu nombre de verdad.","[{'end': 6, 'label': 'PEOPLE', 'start': 0}]"
e438c109-4631-485a-8619-a36a571b75e3,"Como la de Martirio, un poco todo.","[{'end': 19, 'label': 'PEOPLE', 'start': 11}]"
23b19487-5baa-43b3-8573-8fb730a221eb,A las tres de la mañana cuando te desvelas.,"[{'end': 23, 'label': 'DATES', 'start': 6}]"
010a51b6-9580-4f81-8745-8a7676009288,"Ahí había de todo, desde una habitación llena de pajaros exóticos, en jaulas de mimbre, otro aposento lleno de esculturas, estancias llenas de sofá luis 13, donde había mandolinas, guitarras, etcétera, que luego ellas habían visto en sus cuadros cubistas.","[{'end': 39, 'label': 'PLACES', 'start': 29}
 {'end': 101, 'label': 'PLACES', 'start': 93}
 {'end': 132, 'label': 'PLACES', 'start': 123}
 {'end': 155, 'label': 'TOPIC', 'start': 143}
 {'end': 254, 'label': 'TOPIC', 'start': 238}
 {'end': 56, 'label': 'ANIMALS', 'start': 49}
 {'end': 121, 'label': 'OBJECTS', 'start': 111}
 {'end': 179, 'label': 'OBJECTS', 'start': 169}
 {'end': 190, 'label': 'OBJECTS', 'start': 181}]"
a4c14f91-c41b-4273-894f-e8e594bbc729,"Tienes sentido, menudo cachocabrón, a zorra putona.","[{'end': 43, 'label': 'ANIMALS', 'start': 38}]"
024fab22-80ec-457e-b040-4b86ca6801c2,"El amor diario que te toquen, la amabilidad diaria, que se ocupen de ti, que te conozcan profundamente, eso es maravilloso y no es nada antifeminista porque querer eso, ¿no?","[{'end': 149, 'label': 'TOPIC', 'start': 136}
 {'end': 7, 'label': 'TOPIC', 'start': 3}
 {'end': 43, 'label': 'TOPIC', 'start': 33}]"
5e44ddbd-f28a-493c-8e73-d1673242b1ef,"Y como dice que esto me encanta, un teórico de Verhoeven, del director de la película, no se sabe si la pelea es una parodia sobre la misoginia o si es la película más misoginia de todos los tiempos.","[{'end': 56, 'label': 'PEOPLE', 'start': 47}
 {'end': 143, 'label': 'TOPIC', 'start': 134}]"
16550762-1a61-4948-a07b-be248afe1eae,"Todo es plano contra plano con Nick, con Michael Douglas.","[{'end': 35, 'label': 'PEOPLE', 'start': 31}
 {'end': 56, 'label': 'PEOPLE', 'start': 41}]"
2d7c0c5c-6ae0-4596-982e-1733c5f9aaf0,"Siempre estaba lleno de gente, de amigos, de curiosos, de marchantes, aquella casa era un santuario, porque Picasso era una estrella, Lucía, y va la gente a verle a París.","[{'end': 115, 'label': 'PEOPLE', 'start': 108}
 {'end': 170, 'label': 'PLACES', 'start': 165}]"
a953511b-4320-498f-9196-69a62b221932,"Charlonestone es una asesina, pero también es una amenaza simbólica por su sexualidad liberada y a la que le imaginamos comportamientos sádicos por cómo se maneja con Michael Douglas y por él.","[{'end': 13, 'label': 'PEOPLE', 'start': 0}
 {'end': 182, 'label': 'PEOPLE', 'start': 167}]"
61c7cacd-cd74-4dc7-905f-35cbf84f317f,"Uy, ves, ya estoy, como se llama la película, Paul Tergués, bien.","[{'end': 58, 'label': 'PEOPLE', 'start': 46}]"
6e0975fd-5b3c-4265-ad8e-de8732dd0acb,"No estoy hablando de los cuernos, digo lo de que sientes amor y que se resisten al amor.","[{'end': 61, 'label': 'TOPIC', 'start': 57}]"
1e21091e-c551-4f54-bb46-b79d45e87af9,"Situaciones de la existencia como el trabajo, el amor, la moral, la pertenencia política.","[{'end': 44, 'label': 'TOPIC', 'start': 37}
 {'end': 53, 'label': 'TOPIC', 'start': 49}
 {'end': 63, 'label': 'TOPIC', 'start': 58}
 {'end': 88, 'label': 'TOPIC', 'start': 68}]"
900d61a8-bcd7-46fb-b785-33a3c519fd73,"Todo el mundo las abraza, les da dinero, las quieren, no les votan, no, por machismo, paternalismo, por imbecilidad propia, lo que sea.","[{'end': 84, 'label': 'TOPIC', 'start': 76}
 {'end': 98, 'label': 'TOPIC', 'start': 86}]"
235382e3-586e-4efa-b535-a2f9eca6ebd2,"La vida está llena de paradojas, amigas, amigas, paradojas.","[{'end': 31, 'label': 'TOPIC', 'start': 22}]"
7082e9ac-5f64-4355-98ff-48bf38f25938,"¡Vale la pena, lo que era necesario para estar contigo, amor!","[{'end': 60, 'label': 'TOPIC', 'start': 56}]"
294f4c94-f019-41c2-8303-a7341aa3e608,"Y una pequeña jaula para pájaros con un canario vivo, un poco mustio que tiene colgado del cuello.","[{'end': 32, 'label': 'ANIMALS', 'start': 25}
 {'end': 47, 'label': 'ANIMALS', 'start': 40}]"
20f33bc6-7326-4b30-9d9e-4337aee70a67,"Se casa tres veces, siempre con hombres homosexuales o impotentes.","[{'end': 52, 'label': 'TOPIC', 'start': 32}]"
f7df90aa-465f-4487-9b6e-6e2400210f54,"Era fascinante, era un parque de atracciones, y sobre todo era el paraíso para unas pintoras en ciernes, como era Fonsu Agilo.","[{'end': 125, 'label': 'PEOPLE', 'start': 114}
 {'end': 44, 'label': 'PLACES', 'start': 23}]"
3e2b7abd-022e-49c2-b550-00c38509be05,"Después de leer la correspondencia de Duchamp con su hermana, parece ser que el urinario, conocido como la fuente, una de las obras más influyentes del arte del siglo XX, de 1917, puede que no fuera de Duchamp, sino que fuera un objeto que le mandara la varónesa Elsa a él.","[{'end': 45, 'label': 'PEOPLE', 'start': 38}
 {'end': 88, 'label': 'OBJECTS', 'start': 80}
 {'end': 113, 'label': 'OBJECTS', 'start': 107}
 {'end': 169, 'label': 'DATES', 'start': 161}
 {'end': 178, 'label': 'DATES', 'start': 174}
 {'end': 209, 'label': 'PEOPLE', 'start': 202}
 {'end': 267, 'label': 'PEOPLE', 'start': 263}]"
10b4d350-4f2f-4354-830c-fc2c8687e74f,"Yo no puedo, por ejemplo, no tomar matequilla por las mañanas.","[{'end': 45, 'label': 'OBJECTS', 'start': 35}]"
ca8d61ee-c95a-4c03-b5c5-5162b4c2c1c2,"Escrito por ella y por Carlton Lake, donde narras esos 10 años llenos de creatividad, pero también y sobre todo de tormento.","[{'end': 35, 'label': 'PEOPLE', 'start': 23}]"
394ef9c6-c82d-4c62-a12f-df9699bfee05,Postre destruido me parece lo más.,"[{'end': 6, 'label': 'OBJECTS', 'start': 0}]"
5a746748-cc62-4b34-9e25-c5a486fd3866,"Las que no son de las fachas estas y hablan del déficit fiscal estructural y dices, ajá, ajá, ¿no?","[{'end': 74, 'label': 'TOPIC', 'start': 48}]"
bad4397f-0161-4ccf-b430-2a788ca679d3,Y debajo se lo lleva un sujetador hecho con dos latas de tomate y una cuerda verde.,"[{'end': 8, 'label': 'PLACES', 'start': 2}
 {'end': 33, 'label': 'OBJECTS', 'start': 24}
 {'end': 63, 'label': 'OBJECTS', 'start': 44}
 {'end': 82, 'label': 'OBJECTS', 'start': 66}]"
653d0cf8-8d70-4605-81f6-579b49e66a03,"Hola, bien, nosotros somos pintoras, pero bueno, Alain Coulis, no me las presentas, tal.","[{'end': 61, 'label': 'PEOPLE', 'start': 49}]"
fc013e75-7e93-44dd-92f2-5bb43ff7b0de,"Finalmente, Picasso se levanta y lleva consigo un frutero lleno de cerezas para ofrecerles todo.","[{'end': 19, 'label': 'PEOPLE', 'start': 12}
 {'end': 57, 'label': 'OBJECTS', 'start': 50}]"
9d5ddf4a-a155-4ba9-b249-0419034253da,"La pieza, recordemos, fue rechazada absolutamente por la sociedad de artistas independientes.","[{'end': 92, 'label': 'TOPIC', 'start': 57}]"
6acfc58e-8781-47f9-ba9a-efc791bcef96,Pides una tarta de manzana y te traen una montañita de mermelada de manzana y polvo de galleta.,"[{'end': 15, 'label': 'OBJECTS', 'start': 10}
 {'end': 64, 'label': 'OBJECTS', 'start': 55}
 {'end': 94, 'label': 'OBJECTS', 'start': 78}]"
c9221d71-77c2-4e61-99a2-c95bca2c80de,"Bueno, esta es la inteligente, a François, y esta es la guapa Geneviève, las dos pintoras, sí.","[{'end': 41, 'label': 'PEOPLE', 'start': 33}
 {'end': 71, 'label': 'PEOPLE', 'start': 62}]"
b4578b71-0b56-4826-b59d-9455ef619e76,"Nos puede pasar a nosotras, que nos vamos a Arendt, que hablamos de Chanel.","[{'end': 50, 'label': 'PLACES', 'start': 44}
 {'end': 74, 'label': 'PEOPLE', 'start': 68}]"
43b01e69-a81b-4056-86c3-1d4af75bd40e,"Por desear el amor y creerte egoísta, porque el mundo está fatal y que te sientas superreconocida por tus amigos y en tu trabajo y no sé qué.","[{'end': 18, 'label': 'TOPIC', 'start': 14}
 {'end': 128, 'label': 'TOPIC', 'start': 121}]"
febd10d4-8364-42ac-b75f-6927c19d640f,"Y efectivamente, Lucía, yo, chiquitita, joder, existo muchísimo, Lucía.","[{'end': 22, 'label': 'PEOPLE', 'start': 17}]"
